contest_id,date,election,state,seat,seat_type,seat_no,seat_name,seat_key,year,win_candidate_uid,win_name,win_party_uid,win_party,win_coalition_uid,win_coalition,win_votes,win_votes_perc,win_result,run_party_uid,run_party,run_coalition_uid,run_coalition,run_votes,run_votes_perc,voters_total,votes_valid,majority,n_candidates,voter_turnout,majority_perc,margin_perc,uncontested
1990-10-20|Terengganu|N.16 Wakaf Mempelam,1990-10-20,SE-08,Terengganu,N.16 Wakaf Mempelam,state,16,Wakaf Mempelam,state|Terengganu|wakaf mempelam,1990,TXGAT,Mohd Abdul Wahid bin Endut,004-PAS,PAS,005-APU,APU,6383,54.52293499615615,won,001-UMNO,UMNO,001-BN,BN,5220.0,44.58870761083112,15013,11707,1163,3,81.04309598348098,9.934227385325018,9.93422738532503,False
1990-10-20|Terengganu|N.17 Serada,1990-10-20,SE-08,Terengganu,N.17 Serada,state,17,Serada,state|Terengganu|serada,1990,56JHN,Jusoh @ Kobi Bin Musa,001-UMNO,UMNO,001-BN,BN,5077,51.506543573095264,won,004-PAS,PAS,005-APU,APU,4293.0,43.55280511311758,12399,9857,784,3,81.89370110492781,7.953738459977681,7.953738459977686,False
1990-10-20|Terengganu|N.18 Bukit Payung,1990-10-20,SE-08,Terengganu,N.18 Bukit Payung,state,18,Bukit Payung,state|Terengganu|bukit payung,1990,C1YP7,Baharudin @ Ismail Bin Mohd,004-PAS,PAS,005-APU,APU,4163,50.10229871223974,won,001-UMNO,UMNO,001-BN,BN,4146.0,49.89770128776026,10059,8309,17,2,84.81956456904265,0.20459742447948,0.2045974244794735,False
1990-10-20|Terengganu|N.19 Ru Rendang,1990-10-20,SE-08,Terengganu,N.19 Ru Rendang,state,19,Ru Rendang,state|Terengganu|ru rendang,1990,NBCDR,Abdul Hadi bin Awang,004-PAS,PAS,005-APU,APU,4750,54.93234647854748,won,001-UMNO,UMNO,001-BN,BN,3897.0,45.06765352145253,10533,8647,853,2,83.68935725814109,9.864692957094949,9.864692957094952,False
1990-10-20|Terengganu|N.20 Binjai,1990-10-20,SE-08,Terengganu,N.20 Binjai,state,20,Binjai,state|Terengganu|binjai,1990,JXATS,Muda bin Mamat,001-UMNO,UMNO,001-BN,BN,4394,53.96045683409063,won,004-PAS,PAS,005-APU,APU,3749.0,46.03954316590937,9715,8143,645,2,86.18630983015954,7.92091366818126,7.920913668181257,False
1990-10-20|Terengganu|N.21 Telemung,1990-10-20,SE-08,Terengganu,N.21 Telemung,state,21,Telemung,state|Terengganu|telemung,1990,G8QR9,Ahmad Sidi bin Ismail,001-UMNO,UMNO,001-BN,BN,4198,64.7439851943245,won,062-S46,S46,005-APU,APU,2286.0,35.256014805675505,7652,6484,1912,2,88.3951907997909,29.487970388648986,29.48797038864899,False
1990-10-20|Terengganu|N.22 Manir,1990-10-20,SE-08,Terengganu,N.22 Manir,state,22,Manir,state|Terengganu|manir,1990,PG5S7,Harun bin Taib,004-PAS,PAS,005-APU,APU,3810,52.93872446852856,won,001-UMNO,UMNO,001-BN,BN,3387.0,47.061275531471445,8641,7197,423,2,85.59194537669251,5.877448937057108,5.8774489370571175,False
1990-10-20|Terengganu|N.23 Kuala Berang,1990-10-20,SE-08,Terengganu,N.23 Kuala Berang,state,23,Kuala Berang,state|Terengganu|kuala berang,1990,865CK,Wan Muda Bin Mohd,001-UMNO,UMNO,001-BN,BN,4433,59.004392386530014,won,004-PAS,PAS,005-APU,APU,3080.0,40.99560761346999,8998,7513,1353,2,86.77483885307846,18.00878477306003,18.00878477306002,False
1990-10-20|Terengganu|N.24 Tanggul,1990-10-20,SE-08,Terengganu,N.24 Tanggul,state,24,Tanggul,state|Terengganu|tanggul,1990,CJSY2,Tengku Ibrahim Bin Sultan Ismail,062-S46,S46,005-APU,APU,3461,50.11584129742253,won,001-UMNO,UMNO,001-BN,BN,3445.0,49.884158702577466,8250,6906,16,2,86.47272727272727,0.2316825948450622,0.23168259484506137,False
1990-10-20|Terengganu|N.25 Mercang,1990-10-20,SE-08,Terengganu,N.25 Mercang,state,25,Mercang,state|Terengganu|mercang,1990,VKGET,Harun Bin Ali,001-UMNO,UMNO,001-BN,BN,3962,51.017254699974245,won,004-PAS,PAS,005-APU,APU,3804.0,48.98274530002576,9745,7766,158,2,83.25295023088763,2.0345093999484933,2.034509399948483,False
